Call order,Test lane,Primary offer,Business,Category,City,State,Phone,Email,Rating,Reviews,Primary score,Website score,Review score,AI fit score,Confidence,Observable reason,Selection note,Website status,Website,Google Maps,Verify before call,Data freshness,Source(s),Contact name,Contact title,Employee estimate,Revenue estimate,Status,Notes
,,Website,Access Garage Door Repair,garage door repair,Scottsdale,AZ,'+14809926115,,4.8,21,81,81,81,22,Medium,No owned website found or linked; 21 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Access%20Garage%20Door%20Repair&query_place_id=ChIJrexQctJbK4cRuE352aNS1dE,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,CITY2CITY LANDSCAPING AZ LLC,landscaper,Glendale,AZ,'+14805098107,,4.8,18,81,81,74,22,Medium,No owned website found or linked; 18 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=CITY2CITY%20LANDSCAPING%20AZ%20LLC&query_place_id=ChIJY4De4I2XCiYRd2nXDwAN1Ho,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Lightning Sprinkler and Lighting Repair,irrigation repair,Phoenix,AZ,'+16028147774,,5,18,81,81,79,22,Medium,No owned website found or linked; 18 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Lightning%20Sprinkler%20and%20Lighting%20Repair&query_place_id=ChIJo1GPBKBtK4cRUY6qmpw2P3w,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Turbo Appliance Repair,appliance repair,Peoria,AZ,'+16029892944,,5,16,81,81,79,12,Medium,No owned website found or linked; 16 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Turbo%20Appliance%20Repair&query_place_id=ChIJH2iBJ3VpK4cRh9-Wpm03PPo,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Cj's Landscaping,landscaper,Tempe,AZ,'+14806487841,,5,12,81,81,79,22,Medium,No owned website found or linked; 12 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Cj's%20Landscaping&query_place_id=ChIJZUuukZEJK4cRyrmFiIobT1c,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Thompson Landscape,landscaper,Scottsdale,AZ,'+16023305875,,5,22,78,78,49,26,Medium,An unreachable-site signal; 22 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue · unreachable in Jul 9 audit,https://thompsonlandscapeaz.com/,https://www.google.com/maps/search/?api=1&query=Thompson%20Landscape&query_place_id=ChIJrzbczKoWGm0RnhIuKQayObg,Automated site audit failed on Jul 9; reopen the URL immediately before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Protege Pool Services Glendale Location,pool service,Glendale,AZ,'+16232029391,,4,12,78,78,82,26,Medium,An unreachable-site signal; 12 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue · unreachable in Jul 9 audit,http://www.protegepools.webs.com/,https://www.google.com/maps/search/?api=1&query=Protege%20Pool%20Services%20Glendale%20Location&query_place_id=ChIJM2ziEiVpK4cRWLDpMukUED0,Automated site audit failed on Jul 9; reopen the URL immediately before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,All Season Plumbing And Air,hvac contractor,Tempe,AZ,'+16234620357,,5,191,73,73,67,26,Medium,A current conversion/technical flag; 191 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://allseasonsplumbingandair.com/tempe/,https://www.google.com/maps/search/?api=1&query=All%20Season%20Plumbing%20And%20Air&query_place_id=ChIJ3QV-F4YJK4cRsEU-VaHc4fE,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Saguaro Plumbing And Air Of Tempe,hvac contractor,Tempe,AZ,'+16233434953,,5,183,73,73,67,26,Medium,A current conversion/technical flag; 183 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://saguaroplumbingandair.com/tempe/,https://www.google.com/maps/search/?api=1&query=Saguaro%20Plumbing%20And%20Air%20Of%20Tempe&query_place_id=ChIJBQwYxsYHK4cROz2-Q5eqjDU,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Pyramid Carpet Cleaning,carpet cleaning,Surprise,AZ,'+16233309677,,5,140,73,73,74,16,Medium,A current conversion/technical flag; 140 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://www.facebook.com/PyramidCarpetUpholsteryCleaning/,https://www.google.com/maps/search/?api=1&query=Pyramid%20Carpet%20Cleaning&query_place_id=ChIJT3M3lnJRK4cRypBO0fLX-pk,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Divine Heating and Cooling,hvac contractor,Surprise,AZ,'+16234282110,,5,136,73,73,49,26,Medium,A current conversion/technical flag; 136 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://divineheatingandcooling.com/,https://www.google.com/maps/search/?api=1&query=Divine%20Heating%20and%20Cooling&query_place_id=ChIJbTxhDqpKbWgRrmqXjAQsGik,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026,,,,,,
,,Website,Grand Canyon Refrigeration,hvac contractor,Peoria,AZ,'+16023268936,,5,125,73,73,59,26,Medium,A current conversion/technical flag; 125 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://grandcanyonref.com/,https://www.google.com/maps/search/?api=1&query=Grand%20Canyon%20Refrigeration&query_place_id=ChIJl8M5gvxHK4cRn16zhi1yOM0,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026,,,,,,
,,Website,Preferred Choice Pest Control,pest control,Surprise,AZ,'+16027411059,,5,33,70,70,65,32,Medium,A current conversion/technical flag; 33 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://www.preferredchoicepestcontrol.com/,https://www.google.com/maps/search/?api=1&query=Preferred%20Choice%20Pest%20Control&query_place_id=ChIJ411J7kv7OQoRk1whQUMili8,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-22,Arizona service leads · Maps Jul 8 / audit Jul 9 | Angi paid-advertiser research · Jul 21,Levi Becker,possible owner,,,,
,,Website,Rockwell Landscape Maintenance,landscaper,Glendale,AZ,'+16026904648,,4.9,78,69,69,50,26,Medium,A current conversion/technical flag; 78 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,http://www.rockwelllandscapemaintenance.com/,https://www.google.com/maps/search/?api=1&query=Rockwell%20Landscape%20Maintenance&query_place_id=ChIJJTXL91Gs9ksRcSOcSf3iVes,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Roy Dossey Plumbing,plumber,Chandler,AZ,'+14809633302,,4.6,76,69,69,74,26,Medium,A current conversion/technical flag; 76 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,http://www.roydosseyplumbing.com/,https://www.google.com/maps/search/?api=1&query=Roy%20Dossey%20Plumbing&query_place_id=ChIJP0cCr-6pK4cRVY0NPskgpJY,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Greentree Pest Control,pest control,Surprise,AZ,'+16235058841,,4.8,72,69,69,50,26,Medium,A current conversion/technical flag; 72 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,http://www.greentreepest.com/,https://www.google.com/maps/search/?api=1&query=Greentree%20Pest%20Control&query_place_id=ChIJ3eq97u5PK4cRGpkRkdtFN9Q,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Copper State Home and Outdoor Co.,landscaper,Gilbert,AZ,'+14802569344,,5,68,69,69,59,26,Medium,A current conversion/technical flag; 68 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://www.copperstatehomeco.com/,https://www.google.com/maps/search/?api=1&query=Copper%20State%20Home%20and%20Outdoor%20Co.&query_place_id=ChIJGUos8yetK4cRria8Fd3eoDI,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Az Empire Landscaping LLC.,landscaper,Glendale,AZ,'+16026426883,,5,64,69,69,49,26,Medium,A current conversion/technical flag; 64 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://www.facebook.com/azempirelandscapingllc?mibextid=LQQJ4d&rdid=vNhC2v5N1IkaYqWB&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1EhnfaHY38%2F%3Fmibextid%3DLQQJ4d,https://www.google.com/maps/search/?api=1&query=Az%20Empire%20Landscaping%20LLC.&query_place_id=ChIJ68Y8VK1pK4cR4RlbDn7fm3Q,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,pH Balanced Pool Service,pool service,Gilbert,AZ,'+14804559690,,4.9,63,69,69,66,26,Medium,A current conversion/technical flag; 63 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://phbalancedpool.com/,https://www.google.com/maps/search/?api=1&query=pH%20Balanced%20Pool%20Service&query_place_id=ChIJ21MinDSvK4cRcOIwdn4k2Zk,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Rainmaker Sprinkler Pros Az,irrigation repair,Phoenix,AZ,'+16028805350,,4.7,63,69,69,66,26,Medium,A current conversion/technical flag; 63 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,http://www.rainmakersprinklerprosaz.com/,https://www.google.com/maps/search/?api=1&query=Rainmaker%20Sprinkler%20Pros%20Az&query_place_id=ChIJkcy-cxwTK4cRrFbFDO20Z8Q,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,Smart Pest Defense,pest control,Chandler,AZ,'+16028476278,,5,60,69,69,74,26,Medium,A current conversion/technical flag; 60 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,https://smartpestdefense.com/,https://www.google.com/maps/search/?api=1&query=Smart%20Pest%20Defense&query_place_id=ChIJbYp-G_BifQERHrQ0nhYnhvk,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,EnerGreen Carpet Cleaning,carpet cleaning,Scottsdale,AZ,'+14808007038,,5,51,69,69,67,16,Medium,A current conversion/technical flag; 51 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · technical flags,http://energreencarpetcleaning.com/,https://www.google.com/maps/search/?api=1&query=EnerGreen%20Carpet%20Cleaning&query_place_id=ChIJrw6h9V1xK4cRPrknoJv93Jk,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
,,Website,United Garage Door Repair,garage door repair,Phoenix,AZ,'+16027773900,unitedgaragedoorrepair1000@gmail.com,5,203,94,94,62,32,Low,A parked or very thin page; 203 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · parked/thin page,https://unitedgaragedoorrepairs.us/,https://www.google.com/maps/search/?api=1&query=United%20Garage%20Door%20Repair&query_place_id=ChIJgUV8ZW8NK4cRZv2c1X34K7Y,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,4 Sons Garage Door,garage door repair,Phoenix,AZ,'+14805446915,,4.9,337,91,91,46,26,Low,A parked or very thin page; 337 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · parked/thin page,https://4sonsgaragedoor.com/,https://www.google.com/maps/search/?api=1&query=4%20Sons%20Garage%20Door&query_place_id=ChIJ8fdzbrRjiUYRx0GQCxaZ7sE,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Ultimate Garage Door,garage door repair,Tempe,AZ,'+14804707772,,5,299,91,91,43,26,Low,A parked or very thin page; 299 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · parked/thin page,https://ultimategaragedoorrepairaz.com/,https://www.google.com/maps/search/?api=1&query=Ultimate%20Garage%20Door&query_place_id=ChIJJZkJL1cIK4cRacJxmQ-FiLE,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Shimmering Waters Pool Services,pool service,Peoria,AZ,'+16023638267,,4.7,206,91,91,46,26,Low,An unreachable-site signal; 206 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · probe failure,http://www.shimmeringwaterspoolservices.com/,https://www.google.com/maps/search/?api=1&query=Shimmering%20Waters%20Pool%20Services&query_place_id=ChIJ3djfBKxrK4cRFJh09fvNuVE,Jul 8 probe failed; reopen the URL because site state can change quickly.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Team Garage Doors,garage door repair,Tempe,AZ,'+14804476021,,5,120,91,91,67,26,Low,A parked or very thin page; 120 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · parked/thin page,https://teamgaragedoors.com/locations/tempe-garage-door-repair/,https://www.google.com/maps/search/?api=1&query=Team%20Garage%20Doors&query_place_id=ChIJ5wL_OPIFK4cRJi4hKa8oGfk,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Cactus Garage Door Repair,garage door repair,Glendale,AZ,'+16234623303,office@cactusgaragedooraz.com,4.9,97,90,90,77,32,Low,A parked or very thin page; 97 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Website rescue candidate · parked/thin page,https://www.cactusgaragedooraz.com/gilbert/,https://www.google.com/maps/search/?api=1&query=Cactus%20Garage%20Door%20Repair&query_place_id=ChIJKXw6WIxrK4cRE5UQRRVZcug,Jul 8 probe identified a parked or nearly empty page; inspect before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,"Bullfrog's Garage Door Company, Inc.",garage door repair,Surprise,AZ,'+16236285558,,4.9,768,73,73,46,26,Low,A current conversion/technical flag; 768 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · usability flags,http://www.bullfrogdoors.com/,https://www.google.com/maps/search/?api=1&query=Bullfrog's%20Garage%20Door%20Company%2C%20Inc.&query_place_id=ChIJvxoIcFREK4cRcj2Un-vBOOE,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Pride Garage Doors LLC,garage door repair,Surprise,AZ,'+16024184916,,5,230,73,73,39,26,Low,A current conversion/technical flag; 230 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · usability flags,https://www.pridegaragedoors.com/,https://www.google.com/maps/search/?api=1&query=Pride%20Garage%20Doors%20LLC&query_place_id=ChIJT15RKdxFK4cR0zn7yCRuWN0,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Arizona Mirage Pool Service & Repair,pool service,Surprise,AZ,'+16235379811,,4.7,227,73,73,46,26,Low,A current conversion/technical flag; 227 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · usability flags,https://arizonamirage.com/,https://www.google.com/maps/search/?api=1&query=Arizona%20Mirage%20Pool%20Service%20%26%20Repair&query_place_id=ChIJV2JlErBFK4cRtLMKj2QtYTw,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Captain Pools,pool service,Tempe,AZ,'+14809070076,,4.4,145,73,73,54,26,Low,A current conversion/technical flag; 145 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · usability flags,http://www.captainpools.com/,https://www.google.com/maps/search/?api=1&query=Captain%20Pools&query_place_id=ChIJBa9abyOlK4cRIsWj5hUypkI,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
,,Website,Arizona Garage Door & Repair,garage door repair,Phoenix,AZ,'+16026006069,,4.7,138,73,73,66,26,Low,A current conversion/technical flag; 138 Google reviews provide an activity signal. Verify the exact site condition before saying it.,,Conversion fix candidate · usability flags,https://www.arizonagaragedoorandrepair.com/,https://www.google.com/maps/search/?api=1&query=Arizona%20Garage%20Door%20%26%20Repair&query_place_id=ChIJwwxhIvMTK4cRiArn3bb3ogA,Jul 8 probe recorded usability flags; inspect manually before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,,,
11,Reviews,Reviews,Pest Control Solutions,pest control,Mesa,AZ,'+14809632077,,4.2,54,89,35,89,26,Medium,"54 reviews versus a 799-review local result-set median, with a 4.2 rating.",,Basic website checks pass,https://www.pestcontrolsolutionsaz.com/,https://www.google.com/maps/search/?api=1&query=Pest%20Control%20Solutions&query_place_id=ChIJP0AFVE6oK4cRsJB-fxSRHCg,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
12,Reviews,Reviews,Scottsdale Plumbing Co,plumber,Scottsdale,AZ,'+14809459583,,4,46,89,30,89,26,Medium,"46 reviews versus a 540-review local result-set median, with a 4.0 rating.",,Basic website checks pass,https://www.scottsdaleplumbing.com/,https://www.google.com/maps/search/?api=1&query=Scottsdale%20Plumbing%20Co&query_place_id=ChIJM1wHM8QLK4cRFaKEk8RGtbk,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
13,Reviews,Reviews,Arizona All Star Cleaning,carpet cleaning,Gilbert,AZ,'+14806358605,,4.6,33,89,64,89,16,Medium,"33 reviews versus a 144-review local result-set median, with a 4.6 rating.",,Conversion fix candidate · technical flags,https://gilbertcarpetclean.com/,https://www.google.com/maps/search/?api=1&query=Arizona%20All%20Star%20Cleaning&query_place_id=ChIJVwUGecCrK4cRoujl8XNdci8,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
14,Reviews,Reviews,Piped Right Irrigation,irrigation repair,Chandler,AZ,'+14803314545,,4.6,11,89,26,89,26,Medium,"11 reviews versus a 85-review local result-set median, with a 4.6 rating.",,Basic website checks pass,https://www.pipedrightirrigation.com/,https://www.google.com/maps/search/?api=1&query=Piped%20Right%20Irrigation&query_place_id=ChIJITK7UF46Ei0RArXYmQZSILU,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
